"miRNA_id_and_region";"TCGA-2G-AAEW-01A-11R-A439-13";"TCGA-2G-AAEX-01A-11R-A439-13";"TCGA-2G-AAF1-01A-11R-A439-13";"TCGA-2G-AAF4-01A-11R-A439-13";"TCGA-2G-AAF6-01A-11R-A439-13";"TCGA-2G-AAF8-01A-11R-A439-13";"TCGA-2G-AAFE-01A-11R-A439-13";"TCGA-2G-AAFG-01A-11R-A439-13";"TCGA-2G-AAFG-05A-11R-A439-13";"TCGA-2G-AAFH-01A-12R-A439-13";"TCGA-2G-AAFI-01A-21R-A439-13";"TCGA-2G-AAFJ-01A-11R-A439-13";"TCGA-2G-AAFL-01A-21R-A439-13";"TCGA-2G-AAFM-01A-11R-A439-13";"TCGA-2G-AAFN-01A-31R-A439-13";"TCGA-2G-AAFO-01A-31R-A439-13";"TCGA-2G-AAFV-01A-11R-A439-13";"TCGA-2G-AAFY-01A-11R-A439-13";"TCGA-2G-AAFZ-01A-11R-A439-13";"TCGA-2G-AAG0-01A-11R-A439-13";"TCGA-2G-AAG3-01A-11R-A439-13";"TCGA-2G-AAG5-01A-11R-A439-13";"TCGA-2G-AAG6-01A-11R-A439-13";"TCGA-2G-AAG7-01A-11R-A439-13";"TCGA-2G-AAG8-01A-31R-A439-13";"TCGA-2G-AAG9-01A-11R-A439-13";"TCGA-2G-AAGA-01A-11R-A439-13";"TCGA-2G-AAGC-01A-21R-A439-13";"TCGA-2G-AAGE-01A-21R-A439-13";"TCGA-2G-AAGF-01A-31R-A439-13";"TCGA-2G-AAGG-01A-11R-A439-13";"TCGA-2G-AAGI-01A-11R-A439-13";"TCGA-2G-AAGI-05A-11R-A439-13";"TCGA-2G-AAGJ-01A-11R-A439-13";"TCGA-2G-AAGK-01A-11R-A439-13";"TCGA-2G-AAGM-01A-11R-A439-13";"TCGA-2G-AAGN-01A-11R-A439-13";"TCGA-2G-AAGO-01A-11R-A439-13";"TCGA-2G-AAGP-01A-11R-A439-13";"TCGA-2G-AAGS-01A-11R-A439-13";"TCGA-2G-AAGT-01A-11R-A439-13";"TCGA-2G-AAGV-01A-11R-A439-13";"TCGA-2G-AAGW-01A-11R-A439-13";"TCGA-2G-AAGX-01A-11R-A439-13";"TCGA-2G-AAGY-01A-11R-A439-13";"TCGA-2G-AAGY-05A-11R-A439-13";"TCGA-2G-AAGZ-01A-11R-A439-13";"TCGA-2G-AAH0-01A-11R-A439-13";"TCGA-2G-AAH2-01A-11R-A439-13";"TCGA-2G-AAH3-01A-11R-A439-13";"TCGA-2G-AAH4-01A-12R-A439-13";"TCGA-2G-AAH8-01A-11R-A439-13";"TCGA-2G-AAHA-01A-11R-A439-13";"TCGA-2G-AAHC-01A-11R-A439-13";"TCGA-2G-AAHG-01A-11R-A439-13";"TCGA-2G-AAHL-01A-11R-A439-13";"TCGA-2G-AAHN-01A-11R-A439-13";"TCGA-2G-AAHP-01A-12R-A439-13";"TCGA-2G-AAHP-05A-11R-A439-13";"TCGA-2G-AAHT-01A-11R-A439-13";"TCGA-2G-AAKD-01A-31R-A439-13";"TCGA-2G-AAKG-01A-11R-A439-13";"TCGA-2G-AAKG-05A-11R-A439-13";"TCGA-2G-AAKH-01A-11R-A439-13";"TCGA-2G-AAKL-01A-11R-A439-13";"TCGA-2G-AAKM-01A-11R-A439-13";"TCGA-2G-AAKO-01A-11R-A439-13";"TCGA-2G-AAKO-05A-11R-A439-13";"TCGA-2G-AAL5-01A-11R-A439-13";"TCGA-2G-AAL7-01A-11R-A439-13";"TCGA-2G-AALF-01A-11R-A439-13";"TCGA-2G-AALG-01A-11R-A439-13";"TCGA-2G-AALN-01A-11R-A439-13";"TCGA-2G-AALO-01A-12R-A439-13";"TCGA-2G-AALP-01A-12R-A439-13";"TCGA-2G-AALQ-01A-12R-A439-13";"TCGA-2G-AALR-01A-21R-A439-13";"TCGA-2G-AALS-01A-12R-A439-13";"TCGA-2G-AALT-01A-11R-A439-13";"TCGA-2G-AALW-01A-11R-A439-13";"TCGA-2G-AALX-01A-11R-A439-13";"TCGA-2G-AALY-01A-11R-A439-13";"TCGA-2G-AALZ-01A-11R-A439-13";"TCGA-2G-AAM2-01A-11R-A439-13";"TCGA-2G-AAM3-01A-11R-A439-13";"TCGA-2G-AAM4-01A-11R-A439-13";"TCGA-2X-A9D5-01A-11R-A439-13";"TCGA-2X-A9D6-01A-11R-A439-13";"TCGA-4K-AA1G-01A-11R-A439-13";"TCGA-4K-AA1H-01A-11R-A439-13";"TCGA-4K-AA1I-01A-11R-A439-13";"TCGA-4K-AAAL-01A-11R-A439-13";"TCGA-S6-A8JW-01A-11R-A439-13";"TCGA-S6-A8JX-01A-11R-A439-13";"TCGA-S6-A8JY-01A-11R-A43A-13";"TCGA-SB-A6J6-01A-11R-A43A-13";"TCGA-SB-A76C-01A-11R-A43A-13";"TCGA-SN-A6IS-01A-11R-A43A-13";"TCGA-SN-A84W-01A-11R-A43A-13";"TCGA-SN-A84X-01A-11R-A43A-13";"TCGA-SN-A84Y-01A-11R-A43A-13";"TCGA-SO-A8JP-01A-11R-A43A-13";"TCGA-VF-A8A8-01A-11R-A43A-13";"TCGA-VF-A8A9-01A-11R-A43A-13";"TCGA-VF-A8AA-01A-11R-A43A-13";"TCGA-VF-A8AB-01A-31R-A43A-13";"TCGA-VF-A8AC-01A-11R-A43A-13";"TCGA-VF-A8AD-01A-11R-A43A-13";"TCGA-VF-A8AE-01A-11R-A43A-13";"TCGA-W4-A7U2-01A-11R-A43A-13";"TCGA-W4-A7U3-01A-12R-A43A-13";"TCGA-W4-A7U4-01A-12R-A43A-13";"TCGA-WZ-A7V3-01A-11R-A43A-13";"TCGA-WZ-A7V4-01A-11R-A43A-13";"TCGA-WZ-A7V5-01A-11R-A43A-13";"TCGA-WZ-A8D5-01A-11R-A43A-13";"TCGA-X3-A8G4-01A-11R-A43A-13";"TCGA-XE-A8H1-01A-11R-A43A-13";"TCGA-XE-A8H4-01A-31R-A43A-13";"TCGA-XE-A8H5-01A-11R-A43A-13";"TCGA-XE-A9SE-01A-21R-A43A-13";"TCGA-XE-AANI-01A-11R-A43A-13";"TCGA-XE-AANJ-01A-11R-A43A-13";"TCGA-XE-AANR-01A-11R-A43A-13";"TCGA-XE-AANV-01A-11R-A43A-13";"TCGA-XE-AAO3-01A-11R-A43A-13";"TCGA-XE-AAO4-01A-11R-A43A-13";"TCGA-XE-AAO6-01A-31R-A43A-13";"TCGA-XE-AAOB-01A-11R-A43A-13";"TCGA-XE-AAOC-01A-11R-A43A-13";"TCGA-XE-AAOD-01A-11R-A43A-13";"TCGA-XE-AAOF-01A-11R-A43A-13";"TCGA-XE-AAOJ-01A-12R-A43A-13";"TCGA-XE-AAOL-01A-11R-A43A-13";"TCGA-XY-A89B-01A-11R-A43A-13";"TCGA-XY-A8S2-01A-11R-A43A-13";"TCGA-XY-A8S3-01B-11R-A43A-13";"TCGA-XY-A9T9-01A-11R-A43A-13";"TCGA-YU-A90P-01A-11R-A43A-13";"TCGA-YU-A90Q-01A-11R-A43A-13";"TCGA-YU-A90S-01A-11R-A43A-13";"TCGA-YU-A90W-01A-11R-A43A-13";"TCGA-YU-A90Y-01A-11R-A43A-13";"TCGA-YU-A912-01A-11R-A43A-13";"TCGA-YU-A94D-01A-11R-A43A-13";"TCGA-YU-A94I-01A-11R-A43A-13";"TCGA-YU-AA4L-01A-11R-A43A-13";"TCGA-YU-AA61-01A-11R-A43A-13";"TCGA-ZM-AA05-01A-12R-A43A-13";"TCGA-ZM-AA06-01A-12R-A43A-13";"TCGA-ZM-AA0B-01A-11R-A43A-13";"TCGA-ZM-AA0D-01A-11R-A43A-13";"TCGA-ZM-AA0E-01A-12R-A43A-13";"TCGA-ZM-AA0F-01A-21R-A43A-13";"TCGA-ZM-AA0H-01A-11R-A43A-13";"TCGA-ZM-AA0N-01A-21R-A43A-13"
"hsa-let-7a-1, mature,MIMAT0000062";6619,132919;7412,830012;7711,910036;6090,723837;8102,343665;5459,291185;7449,90373;6551,645084;9446,725221;5279,76741;4535,228942;13052,600995;12309,578014;7499,404585;3839,671575;10063,048562;8790,194059;7129,145542;8922,004191;6361,909166;16172,607531;8442,150108;9733,713953;4245,917915;7799,006581;4612,961964;10857,030495;4439,34895;8283,67799;5759,560002;7123,331353;4615,264249;7348,451078;10039,8873;3498,410536;6089,309623;5309,200431;6827,024176;10201,482639;3787,796432;3081,35857;8041,494616;2117,312995;14120,15451;6193,217126;6483,152667;13671,248514;5734,318872;7148,605443;5288,924756;4913,308206;1929,65265;4493,872293;8646,981334;4532,598597;5873,749894;6101,65718;3714,872745;6046,505343;4800,84508;5326,042894;5146,49635;4979,814239;6525,967207;6928,338639;5895,489447;7821,754786;8831,875283;7657,446306;5518,316223;4715,133443;8575,106896;6129,116552;7630,168017;2159,607997;7422,959895;5931,556482;9554,916327;8530,91516;11556,632653;9570,893919;7833,291408;10104,755345;1475,445773;7211,089222;2653,960856;4972,836057;6142,697957;3807,427923;10973,830898;6511,309011;12738,154963;3887,229231;3489,813301;4410,951942;6459,546371;3854,862865;5981,92529;10297,45791;6956,873578;1934,593192;4250,392324;2857,144641;7187,810674;5692,819541;5986,057758;6566,495967;5676,807439;7705,500109;2801,642174;5796,758547;1718,641943;3016,874632;4500,943713;4927,591228;4954,713553;4118,489036;7450,334646;7656,82722;2791,998652;3662,283658;6624,484916;3361,404348;6176,535569;6353,314433;2293,71908;7549,229182;3452,685247;4690,211415;3936,271556;7071,824203;4898,505381;5059,487475;1878,403496;9195,739538;4306,323251;3469,045141;6954,637492;5747,372278;4864,499874;10502,08908;8143,990079;7351,795839;2972,621568;6272,799356;3984,234408;2832,443917;9104,099446;6668,826594;5451,417069;5148,370818;6938,135815;3701,072497;8413,282384;5926,730879;8547,070595
"hsa-let-7a-1, mature,MIMAT0004481";4,294653;3,647631;5,938329;6,816354;6,972757;7,579871;8,014657;4,29194;10,525468;4,581296;2,915921;15,167248;14,696295;14,444543;9,954122;14,184405;8,814201;8,486585;6,651703;12,075754;10,431146;12,6551;7,216914;9,377757;9,468506;2,720608;8,679639;7,287345;9,60612;7,794777;13,969056;11,670044;6,340338;6,164168;4,17621;7,129461;10,022763;8,21033;17,605433;6,928604;2,851485;7,132565;7,592336;16,142226;14,458626;4,02875;21,012507;7,003255;10,315652;5,661557;9,315389;0,506537;6,07149;8,007362;5,458433;6,417464;8,025091;2,460995;7,411001;3,075248;4,812577;9,103304;7,579887;7,317659;10,489537;7,397443;4,854972;7,329765;5,9819;12,254259;3,062406;17,718348;9,455242;18,823089;3,995943;17,601747;2,273237;21,241286;14,976624;12,451313;11,543967;20,518891;18,073154;1,127154;11,816046;2,431704;2,555296;6,728254;3,890424;9,73328;6,656542;11,083759;4,279656;5,779309;6,402807;6,704947;5,119932;6,504871;10,267533;14,36153;2,649092;7,454586;10,301079;13,266862;12,95432;12,074008;14,460675;10,664963;13,478375;4,027157;14,29043;4,092005;7,977984;15,321419;10,807876;14,937003;9,935796;10,033319;9,091459;4,083362;5,701016;21,616162;8,896697;11,71985;14,197352;3,790307;12,557629;11,912131;25,806414;15,753136;24,147616;6,498626;16,640065;3,035708;10,552065;5,018157;4,28662;5,947523;7,274969;3,370041;9,197241;7,385724;9,339698;2,673853;4,332924;4,263384;3,661307;12,33093;8,466788;4,913399;7,076356;9,688443;9,12214;6,207074;11,366958;7,440915
"hsa-let-7a-1, precursor";0,67104;0,561174;0,30453;0,929503;0,410162;1,337624;0,74555;NA;0,467799;1,057222;1,943947;NA;1,145166;1,007759;2,095604;2,026344;0,231952;0,41398;0,295631;1,43759;NA;NA;0,097526;0,275816;2,028965;0,340076;1,49649;0,677892;3,557822;1,948694;0,443463;0,59541;0,396272;6,164167;2,923347;1,125704;2,147735;5,826687;0,432921;0,716751;1,096725;0,12624;2,847126;0,279923;0,158886;0,895278;0,464365;0,942746;0,282621;0,171562;NA;0,759805;0,72858;0,242647;0,839759;1,991627;NA;0,922872;0,871882;0,192203;8,144361;0,568956;0,34454;1,779972;3,776234;1,095918;0,131215;0,325767;0,306764;1,671035;0,556801;NA;0,489064;NA;0,399594;0,177795;1,136618;0,183115;0,672028;0,412295;NA;0,410378;NA;4,508619;0,260648;2,918044;0,4646;NA;1,62101;0,884844;0,60514;0,583356;0,93036;NA;0,291037;0,268198;0,667817;NA;NA;NA;0,756884;0,212988;1,872924;0,43498;NA;0,147244;0,385618;0,761783;0,434786;1,006789;0,589296;0,682001;0,398899;NA;NA;1,457269;2,230484;2,7209;0,363658;3,062521;0,495741;NA;0,386813;0,524769;NA;2,624059;0,784852;1,374477;0,139494;0,35007;NA;0,663125;0,151273;1,868129;0,514734;0,557573;0,194846;NA;0,727497;1,072286;0,193626;0,738573;0,622646;0,985104;0,509756;NA;0,563278;0,237133;0,214349;NA;0,42887;0,605528;NA;0,269874;0,2526;0,544457
"hsa-let-7a-1, stemloop";NA;NA;NA;NA;NA;0,445875;0,186387;NA;0,233899;NA;NA;0,556596;0,190861;0,33592;NA;0,225149;0,463906;0,20699;0,739079;NA;0,196814;0,171014;0,390104;0,551632;NA;NA;NA;NA;NA;1,169217;0,110866;NA;NA;1,027362;0,417621;NA;NA;NA;NA;NA;0,219345;0,44184;NA;0,279923;0,158886;NA;0,232182;NA;0,14131;0,171562;0,558923;NA;NA;0,242647;NA;NA;0,258874;NA;NA;NA;0,370198;NA;NA;0,197775;0,209791;NA;NA;0,325768;0,306764;0,557012;0,1392;0,645608;NA;0,610478;0,199797;NA;NA;0,183115;0,384016;0,742131;0,20989;NA;0,279482;NA;0,608179;NA;NA;NA;NA;0,147474;0,30257;NA;NA;NA;NA;NA;NA;NA;0,626069;0,083015;0,378442;0,212988;0,312154;NA;NA;NA;NA;NA;NA;NA;0,441972;NA;NA;NA;0,400292;0,364317;0,202771;NA;0,363658;NA;NA;0,482504;0,386813;0,524769;NA;NA;NA;NA;0,418482;0,262552;0,311582;0,26525;NA;NA;0,257367;NA;NA;0,247813;0,145499;NA;0,290439;0,246191;0,207549;0,140729;0,169918;NA;NA;0,316177;0,21435;NA;0,214435;0,151382;0,471835;0,089958;NA;NA
"hsa-let-7a-2, mature,MIMAT0000062";6651,745435;7454,356898;7686,786336;6134,410483;8174,122047;5449,927814;7403,493271;6495,849874;9354,334994;5217,391303;4424,909934;13051,766099;12178,647392;7434,572105;3875,296853;10049,089305;8797,616547;7109,067525;8910,918018;6510,843452;16177,724699;8413,761636;9718,890021;4284,80803;7796,301292;4558,039678;10794,477239;4423,418476;8162,000461;5717,078471;7084,417554;4597,282856;7369,057173;10002,388616;3473,7709;6049,284584;5293,808332;6773,524589;10164,828702;3729,739506;3026,522319;7995,290739;2037,118936;14156,171267;6141,420291;6618,339583;13708,397699;5735,800328;7160,051578;5292,87069;4939,577599;1912,430392;4535,158408;8617,378354;4500,267882;5897,870712;6076,934726;3646,887744;6097,510469;4789,505106;5263,47938;5114,350306;5026,671732;6519,242875;6948,268755;5942,065949;7731,084892;8729,258607;7717,572078;5429,751338;4693,418189;8531,707702;6225,136174;7653,976684;2133,034968;7358,953539;5918,144384;9419,228459;8562,596478;11603,469382;9504,568578;7802,307883;10113,232957;1575,762563;7233,070539;2625,266759;4916,851868;6110,837694;3740,642314;10951,709806;6385,439839;12694,403287;3902,673204;3634,74058;4338,48381;6462,22835;3845,736031;6014,914276;10306,72373;6952,39079;1936,485401;4259,124838;2876,498184;7145,617711;5704,219343;6035,531746;6557,819562;5632,877947;7753,109209;2809,696484;5784,383327;1783,773019;2993,33958;4462,751196;4943,602898;4888,772145;4085,437304;7410,031311;7698,829764;2836,575351;3641,958293;6566,777485;3437,993308;6138,577248;6352,479298;2242,112588;7630,330552;3427,02835;4703,742349;3980,205306;7104,85191;4965,481021;5034,829925;1852,48321;9143,751307;4281,232461;3496,323637;6932,582091;5710,706426;4788,367603;10557,853412;8195,443947;7360,305342;3011,884997;6280,870489;4006,972461;2854,975041;9138,167594;6618,240226;5416,102006;5147,727513;6837,012697;3620,860572;8343,205428;5898,060892;8565,03768
"hsa-let-7a-2, mature,MIMAT0010195";1,744703;2,525284;1,370384;3,408178;0,820324;1,7835;2,423036;2,861293;5,145785;1,762037;0,485987;197,313393;9,73391;4,366957;3,667308;12,83351;7,770414;8,279596;5,321363;7,187948;30,112555;25,652234;20,480429;13,790821;11,159311;2,890646;8,081043;33,725154;23,481628;17,148508;15,521173;11,670044;4,953389;4,109444;2,088105;7,754852;2,863647;7,945483;15,585138;10,273447;1,31607;10,541048;NA;52,718828;46,076938;2,685833;9,635569;2,02017;37,588539;3,602809;22,915855;NA;1,457159;4,367652;2,939156;2,655502;4,141982;1,538122;1,743765;1,729827;3,701983;3,129261;1,550431;3,362168;2,307698;9,315301;2,099448;3,58344;18,252466;4,456095;2,923207;65,708532;22,822999;32,050124;4,395538;31,291997;12,275478;22,523089;22,752947;17,151477;20,044526;23,596724;54,778421;NA;34,753075;1,459022;2,787595;5,738805;1,62101;3,981797;7,261683;7,291947;1,488576;5,334746;6,111771;2,681979;2,003452;3,020119;61,730405;11,373003;2,27065;5,537692;4,370155;8,047112;5,181728;7,067712;5,591461;4,824626;2,608718;1,761881;32,55861;2,046003;1,994495;5,773288;4,40321;4,736123;9,935796;10,03332;3,454754;NA;4,957405;70,735029;2,707691;8,221387;4,802046;NA;4,447494;2,748953;27,480345;19,428869;10,749584;1,193625;23,598637;0,233516;4,889982;11,523179;3,312388;2,478134;6,838472;1,531837;5,131093;2,215717;4,981172;1,266562;7,901214;0,812073;NA;12,251886;4,072632;7,063012;1,929915;1,362437;1,572782;4,13805;3,788986;3,992685
"hsa-let-7a-2, precursor";0,268416;0,280587;0,30453;0,929503;NA;NA;0,186387;NA;0,233899;NA;0,485987;7,514049;0,763444;1,679598;NA;1,125747;0,579881;1,655919;0,443448;0,575036;2,164955;2,223193;1,267835;0,275816;0,676321;0,170038;1,197192;1,186311;1,067346;1,948694;1,441252;0,952656;0,396271;0,513681;NA;5,128209;0,357956;1,059398;2,020295;2,150256;NA;1,388641;0,474521;3,452383;5,719896;NA;0,232182;0,269356;2,826205;0,514686;3,353541;NA;NA;0,242647;NA;NA;0,258874;0,307624;0,435941;0,384406;1,110594;0,568956;NA;0,39555;0,209791;0,821938;0,131215;0,325768;6,135283;0,557012;0,696001;1,793355;4,5646;2,238422;0,199797;3,9115;2,955208;1,464917;1,152048;2,143934;5,667039;0,820756;2,887979;0,563577;1,65077;NA;NA;0,19789;0,324202;0,442422;0,30257;1,750067;NA;NA;NA;NA;NA;0,232317;3,255559;0,996175;NA;NA;0,312154;0,21749;NA;NA;0,385618;0,253928;0,869572;NA;1,767888;0,341;NA;NA;NA;0,364317;5,272054;2,040675;0,181829;0,34028;NA;2,70202;0,386813;0,174923;0,417569;NA;0,261617;NA;1,394941;1,400278;0,155791;0,26525;3,025467;NA;0,514734;0,371716;0,389693;0,247813;0,581997;0,153184;0,096813;NA;0,207549;0,140729;1,869105;0,203018;NA;0,316177;0,643047;0,614175;0,214435;NA;0,157278;0,359831;0,1263;0,181486
"hsa-let-7a-2, stemloop";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,417447;NA;0,33592;NA;0,225149;NA;NA;0,147816;NA;NA;0,171014;0,097526;NA;0,16908;NA;NA;0,169473;NA;NA;NA;NA;NA;NA;NA;0,125078;NA;NA;NA;0,238917;NA;0,06312;NA;NA;NA;NA;NA;NA;0,14131;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,273979;NA;NA;NA;NA;NA;0,071734;0,163021;NA;NA;NA;0,227324;0,183115;0,192008;0,082459;NA;NA;NA;NA;0,086883;NA;NA;NA;NA;0,147474;NA;NA;NA;NA;NA;NA;NA;NA;0,125214;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,364317;NA;NA;NA;NA;NA;0,096501;NA;0,174923;NA;NA;NA;NA;NA;0,087517;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"hsa-let-7a-3, mature,MIMAT0000062";6705,697005;7577,254039;7678,259505;6136,269488;8188,477724;5538,211026;7501,16026;6629,25765;9443,216733;5349,896481;4419,078092;13092,258482;12317,021593;7527,285908;3820,811136;10066,650951;8862,099387;7173,648368;8903,379421;6510,268416;16251,726795;8481,996578;9859,180961;4343,832746;7869,174982;4610,241357;10860,622069;4448,161552;8331,708591;5835,559068;7137,078677;4628,006032;7442,961732;9913,008194;3486,299528;6101,442214;5305,97883;6857,746712;10273,34744;3803,087148;3100,222239;8100,448744;2032,373724;14220,180322;6207,675752;6557,013067;13666,604866;5789,132807;7213,749491;5287,723819;5039,811175;1931,678796;4490,472261;8615,922469;4541,835945;5942,129084;6134,016416;3720,717614;6143,284302;4869,653734;5352,326972;5161,858179;5072,323328;6580,552988;7039,317928;5934,394529;7806,533792;8853,050153;7747,174818;5484,895512;4777,495198;8610,18492;6137,756692;7774,851435;2165,402116;7499,945325;5911,324676;9686,758789;8618,086789;11596,625281;9623,681337;7897,515533;10233,596429;1503,061069;7345,583619;2593,654617;4899,429405;6168,621521;3767,55108;10915,431219;6481,052;12771,114562;3944,539393;3616,958092;4389,415231;6496,55768;3830,153634;6007,944771;10451,470885;6941,930949;1928,159686;4276,589872;2894,603109;7244,357945;5723,219013;6040,09631;6643,426757;5646,590045;7754,848356;2806,172724;5814,142781;1788,547024;3038,415189;4475,852118;4983,23178;4833,760251;4131,466403;7486,556627;7703,375494;2826,026669;3731,1916;6627,572939;3390,028506;6142,60048;6404,257874;2296,634702;7554,723146;3513,162217;4744,056153;3998,846518;7131,336391;4976,223648;5092,91888;1863,925497;9159,70809;4259,858824;3458,328592;6980,410092;5686,117029;4863,887143;10613,036867;8097,460027;7387,39047;3038,060617;6284,863575;4017,935448;2952,703789;9158,6401;6693,048034;5406,889384;5161,880226;6893,780915;3664,269378;8463,298795;5991,143627;8588,993798
"hsa-let-7a-3, mature,MIMAT0004481";2,952574;4,489393;6,395124;6,196687;9,023568;8,917496;10,064919;5,007263;8,186475;6,343332;1,943947;14,193206;14,314572;10,749427;6,286813;14,184406;8,930177;8,072606;5,616996;10,925682;13,580171;11,543503;6,631759;9,101941;8,284942;3,740836;11,672618;8,473655;11,029249;8,963993;12,527805;10,121977;7,727287;9,759932;4,17621;7,12946;7,875028;8,475181;16,162365;6,928605;3,07083;7,953125;6,168773;15,955609;17,954118;6,266944;25,423973;5,38712;8,619928;5,489995;9,315389;2,026146;5,585771;10,676483;5,458432;8,409091;8,154527;1,845746;7,411002;4,420668;6,293371;11,663609;7,235348;9,690954;9,650375;9,3153;4,33011;10,098786;6,595429;17,267367;1,809604;19,081298;11,248477;21,773733;2,797161;15,823793;2,273236;19,776371;14,496604;9,895083;12,698364;19,492946;20,961133;1,127154;12,771754;2,431703;5,80749;5,540916;2,593616;9,585806;6,051402;11,375437;4,837871;2,667373;6,111771;5,632155;4,006903;7,898772;10,392746;16,18785;1,135326;5,963669;7,491694;9,352051;15,717909;10,30708;15,617529;11,934603;13,260981;5,033946;16,058318;3,069004;8,376883;16,431665;10,407586;13,479735;8,92194;12,584162;10,182434;4,083361;5,948886;21,905664;6,189007;8,39631;14,614921;4,664993;14,127334;12,370289;26,085403;17,503487;21,81075;5,8355;14,370965;4,903838;11,581536;7,248452;5,84539;5,451896;4,946979;3,063673;8,132298;7,385724;8,094403;3,096041;6,286987;3,248292;4,506224;13,358505;9,324185;4,299224;7,719661;9,537062;8,178471;8,006228;9,093569;8,711315
