input_miRNA,base_name,Organism,Cluster ID,Accession,Chromosome,Strand,Start,Stop,Precursors in cluster,Spanning size of cluster
"hsa-let-7a-1, mature,MIMAT0000062",hsa-let-7a-1,Homo sapiens,hsa_129,MI0000060,chr9,+,94175957.0,94176036.0,3.0,2964.0
"hsa-let-7a-1, mature,MIMAT0004481",hsa-let-7a-1,Homo sapiens,hsa_129,MI0000060,chr9,+,94175957.0,94176036.0,3.0,2964.0
"hsa-let-7a-2, mature,MIMAT0010195",hsa-let-7a-2,Homo sapiens,hsa_23,MI0000061,chr11,-,122146522.0,122146593.0,2.0,5787.0
"hsa-let-7b, mature,MIMAT0000063",hsa-let-7b,Homo sapiens,hsa_95,MI0000063,chr22,+,46113686.0,46113768.0,3.0,1020.0
"hsa-let-7b, mature,MIMAT0004482",hsa-let-7b,Homo sapiens,hsa_95,MI0000063,chr22,+,46113686.0,46113768.0,3.0,1020.0
"hsa-let-7c, mature,MIMAT0000064",hsa-let-7c,Homo sapiens,hsa_89,MI0000064,chr21,+,16539828.0,16539911.0,2.0,823.0
"hsa-let-7c, mature,MIMAT0026472",hsa-let-7c,Homo sapiens,hsa_89,MI0000064,chr21,+,16539828.0,16539911.0,2.0,823.0
"hsa-let-7d, mature,MIMAT0000065",hsa-let-7d,Homo sapiens,hsa_129,MI0000065,chr9,+,94178834.0,94178920.0,3.0,2964.0
"hsa-let-7d, mature,MIMAT0004484",hsa-let-7d,Homo sapiens,hsa_129,MI0000065,chr9,+,94178834.0,94178920.0,3.0,2964.0
"hsa-let-7e, mature,MIMAT0000066",hsa-let-7e,Homo sapiens,hsa_72,MI0000066,chr19,+,51692786.0,51692864.0,3.0,728.0
"hsa-let-7e, mature,MIMAT0004485",hsa-let-7e,Homo sapiens,hsa_72,MI0000066,chr19,+,51692786.0,51692864.0,3.0,728.0
"hsa-let-7f-1, mature,MIMAT0000067",hsa-let-7f-1,Homo sapiens,hsa_129,MI0000067,chr9,+,94176347.0,94176433.0,3.0,2964.0
"hsa-let-7f-1, mature,MIMAT0004486",hsa-let-7f-1,Homo sapiens,hsa_129,MI0000067,chr9,+,94176347.0,94176433.0,3.0,2964.0
"hsa-let-7f-2, mature,MIMAT0004487",hsa-let-7f-2,Homo sapiens,hsa_139,MI0000068,chrX,-,53557192.0,53557274.0,2.0,1052.0
"hsa-let-7g, mature,MIMAT0000414",hsa-let-7g,,,,,,,,,
"hsa-let-7g, mature,MIMAT0004584",hsa-let-7g,,,,,,,,,
"hsa-let-7i, mature,MIMAT0000415",hsa-let-7i,,,,,,,,,
"hsa-let-7i, mature,MIMAT0004585",hsa-let-7i,,,,,,,,,
"hsa-mir-1-1, mature,MIMAT0000416",hsa-mir-1-1,,,,,,,,,
"hsa-mir-1-1, mature,MIMAT0031892",hsa-mir-1-1,,,,,,,,,
"hsa-mir-100, mature,MIMAT0000098",hsa-mir-100,Homo sapiens,hsa_23,MI0000102,chr11,-,122152229.0,122152308.0,2.0,5787.0
"hsa-mir-100, mature,MIMAT0004512",hsa-mir-100,Homo sapiens,hsa_23,MI0000102,chr11,-,122152229.0,122152308.0,2.0,5787.0
"hsa-mir-101-1, mature,MIMAT0000099",hsa-mir-101-1,Homo sapiens,hsa_6,MI0000103,chr1,-,65058434.0,65058508.0,2.0,754.0
"hsa-mir-101-1, mature,MIMAT0004513",hsa-mir-101-1,Homo sapiens,hsa_6,MI0000103,chr1,-,65058434.0,65058508.0,2.0,754.0
"hsa-mir-103a-1, mature,MIMAT0000101",hsa-mir-103a-1,Homo sapiens,hsa_103,MI0000109,chr5,-,168560896.0,168560973.0,2.0,70.0
"hsa-mir-103a-2, mature,MIMAT0009196",hsa-mir-103a-2,Homo sapiens,hsa_82,MI0000108,chr20,+,3917494.0,3917571.0,2.0,70.0
"hsa-mir-105-1, mature,MIMAT0000102",hsa-mir-105-1,Homo sapiens,hsa_152,MI0000111,chrX,-,152392219.0,152392299.0,3.0,2274.0
"hsa-mir-105-1, mature,MIMAT0004516",hsa-mir-105-1,Homo sapiens,hsa_152,MI0000111,chrX,-,152392219.0,152392299.0,3.0,2274.0
"hsa-mir-106a, mature,MIMAT0000103",hsa-mir-106a,Homo sapiens,hsa_144,MI0000113,chrX,-,134170198.0,134170278.0,6.0,901.0
"hsa-mir-106a, mature,MIMAT0004517",hsa-mir-106a,Homo sapiens,hsa_144,MI0000113,chrX,-,134170198.0,134170278.0,6.0,901.0
"hsa-mir-106b, mature,MIMAT0000680",hsa-mir-106b,Homo sapiens,hsa_113,MI0000734,chr7,-,100093993.0,100094074.0,3.0,515.0
"hsa-mir-106b, mature,MIMAT0004672",hsa-mir-106b,Homo sapiens,hsa_113,MI0000734,chr7,-,100093993.0,100094074.0,3.0,515.0
"hsa-mir-107, mature,MIMAT0000104",hsa-mir-107,,,,,,,,,
"hsa-mir-10a, mature,MIMAT0000253",hsa-mir-10a,,,,,,,,,
"hsa-mir-10a, mature,MIMAT0004555",hsa-mir-10a,,,,,,,,,
"hsa-mir-10b, mature,MIMAT0000254",hsa-mir-10b,,,,,,,,,
"hsa-mir-10b, mature,MIMAT0004556",hsa-mir-10b,,,,,,,,,
"hsa-mir-1178, mature,MIMAT0005823",hsa-mir-1178,,,,,,,,,
"hsa-mir-1179, mature,MIMAT0005824",hsa-mir-1179,Homo sapiens,hsa_38,MI0006272,chr15,+,88608107.0,88608197.0,3.0,3818.0
"hsa-mir-1180, mature,MIMAT0005825",hsa-mir-1180,,,,,,,,,
"hsa-mir-1180, mature,MIMAT0026735",hsa-mir-1180,,,,,,,,,
"hsa-mir-1181, mature,MIMAT0005826",hsa-mir-1181,,,,,,,,,
"hsa-mir-1182, mature,MIMAT0005827",hsa-mir-1182,,,,,,,,,
"hsa-mir-1185-1, mature,MIMAT0005798",hsa-mir-1185-1,Homo sapiens,hsa_34,MI0003844,chr14,+,101042977.0,101043062.0,42.0,44736.0
"hsa-mir-1185-1, mature,MIMAT0022838",hsa-mir-1185-1,Homo sapiens,hsa_34,MI0003844,chr14,+,101042977.0,101043062.0,42.0,44736.0
"hsa-mir-1185-2, mature,MIMAT0022713",hsa-mir-1185-2,Homo sapiens,hsa_34,MI0003821,chr14,+,101044198.0,101044283.0,42.0,44736.0
"hsa-mir-1193, mature,MIMAT0015049",hsa-mir-1193,Homo sapiens,hsa_34,MI0014205,chr14,+,101030052.0,101030129.0,42.0,44736.0
"hsa-mir-1197, mature,MIMAT0005955",hsa-mir-1197,Homo sapiens,hsa_34,MI0006656,chr14,+,101025564.0,101025651.0,42.0,44736.0
"hsa-mir-1200, mature,MIMAT0005863",hsa-mir-1200,,,,,,,,,
"hsa-mir-122, mature,MIMAT0000421",hsa-mir-122,Homo sapiens,hsa_64,MI0000442,chr18,+,58451074.0,58451158.0,2.0,79.0
"hsa-mir-122, mature,MIMAT0004590",hsa-mir-122,Homo sapiens,hsa_64,MI0000442,chr18,+,58451074.0,58451158.0,2.0,79.0
"hsa-mir-1224, mature,MIMAT0005458",hsa-mir-1224,,,,,,,,,
"hsa-mir-1224, mature,MIMAT0005459",hsa-mir-1224,,,,,,,,,
"hsa-mir-1225, mature,MIMAT0005572",hsa-mir-1225,,,,,,,,,
"hsa-mir-1225, mature,MIMAT0005573",hsa-mir-1225,,,,,,,,,
"hsa-mir-1226, mature,MIMAT0005576",hsa-mir-1226,,,,,,,,,
"hsa-mir-1226, mature,MIMAT0005577",hsa-mir-1226,,,,,,,,,
"hsa-mir-1227, mature,MIMAT0005580",hsa-mir-1227,Homo sapiens,hsa_66,MI0006316,chr19,-,2234062.0,2234149.0,2.0,1865.0
"hsa-mir-1227, mature,MIMAT0022941",hsa-mir-1227,Homo sapiens,hsa_66,MI0006316,chr19,-,2234062.0,2234149.0,2.0,1865.0
"hsa-mir-1228, mature,MIMAT0005582",hsa-mir-1228,,,,,,,,,
"hsa-mir-1228, mature,MIMAT0005583",hsa-mir-1228,,,,,,,,,
"hsa-mir-1229, mature,MIMAT0005584",hsa-mir-1229,,,,,,,,,
"hsa-mir-1229, mature,MIMAT0022942",hsa-mir-1229,,,,,,,,,
"hsa-mir-1231, mature,MIMAT0005586",hsa-mir-1231,,,,,,,,,
"hsa-mir-1234, mature,MIMAT0005589",hsa-mir-1234,Homo sapiens,hsa_127,MI0006324,chr8,-,144400086.0,144400165.0,3.0,6197.0
"hsa-mir-1236, mature,MIMAT0005591",hsa-mir-1236,,,,,,,,,
"hsa-mir-1236, mature,MIMAT0022945",hsa-mir-1236,,,,,,,,,
"hsa-mir-1237, mature,MIMAT0005592",hsa-mir-1237,,,,,,,,,
"hsa-mir-1237, mature,MIMAT0022946",hsa-mir-1237,,,,,,,,,
"hsa-mir-1238, mature,MIMAT0005593",hsa-mir-1238,,,,,,,,,
"hsa-mir-1238, mature,MIMAT0022947",hsa-mir-1238,,,,,,,,,
"hsa-mir-124-1, mature,MIMAT0000422",hsa-mir-124-1,,,,,,,,,
"hsa-mir-124-1, mature,MIMAT0004591",hsa-mir-124-1,,,,,,,,,
"hsa-mir-1243, mature,MIMAT0005894",hsa-mir-1243,,,,,,,,,
"hsa-mir-1245a, mature,MIMAT0005897",hsa-mir-1245a,Homo sapiens,hsa_79,MI0006380,chr2,+,188978092.0,188978161.0,2.0,70.0
"hsa-mir-1245b, mature,MIMAT0019950",hsa-mir-1245b,Homo sapiens,hsa_79,MI0017431,chr2,-,188978093.0,188978161.0,2.0,70.0
"hsa-mir-1245b, mature,MIMAT0019951",hsa-mir-1245b,Homo sapiens,hsa_79,MI0017431,chr2,-,188978093.0,188978161.0,2.0,70.0
"hsa-mir-1246, mature,MIMAT0005898",hsa-mir-1246,,,,,,,,,
"hsa-mir-1247, mature,MIMAT0005899",hsa-mir-1247,,,,,,,,,
"hsa-mir-1247, mature,MIMAT0022721",hsa-mir-1247,,,,,,,,,
"hsa-mir-1248, mature,MIMAT0005900",hsa-mir-1248,,,,,,,,,
"hsa-mir-1249, mature,MIMAT0005901",hsa-mir-1249,,,,,,,,,
"hsa-mir-1249, mature,MIMAT0032029",hsa-mir-1249,,,,,,,,,
"hsa-mir-1250, mature,MIMAT0005902",hsa-mir-1250,Homo sapiens,hsa_61,MI0006385,chr17,-,81133196.0,81133308.0,4.0,8033.0
"hsa-mir-1250, mature,MIMAT0026740",hsa-mir-1250,Homo sapiens,hsa_61,MI0006385,chr17,-,81133196.0,81133308.0,4.0,8033.0
"hsa-mir-1251, mature,MIMAT0005903",hsa-mir-1251,,,,,,,,,
"hsa-mir-1251, mature,MIMAT0026741",hsa-mir-1251,,,,,,,,,
"hsa-mir-1252, mature,MIMAT0005944",hsa-mir-1252,,,,,,,,,
"hsa-mir-1252, mature,MIMAT0026744",hsa-mir-1252,,,,,,,,,
"hsa-mir-1253, mature,MIMAT0005904",hsa-mir-1253,,,,,,,,,
"hsa-mir-1254-1, mature,MIMAT0005905",hsa-mir-1254-1,,,,,,,,,
"hsa-mir-1255a, mature,MIMAT0005906",hsa-mir-1255a,,,,,,,,,
"hsa-mir-1256, mature,MIMAT0005907",hsa-mir-1256,,,,,,,,,
"hsa-mir-1257, mature,MIMAT0005908",hsa-mir-1257,,,,,,,,,
"hsa-mir-1258, mature,MIMAT0005909",hsa-mir-1258,,,,,,,,,
"hsa-mir-125a, mature,MIMAT0000443",hsa-mir-125a,Homo sapiens,hsa_72,MI0000469,chr19,+,51693254.0,51693339.0,3.0,728.0
"hsa-mir-125a, mature,MIMAT0004602",hsa-mir-125a,Homo sapiens,hsa_72,MI0000469,chr19,+,51693254.0,51693339.0,3.0,728.0
"hsa-mir-125b-1, mature,MIMAT0000423",hsa-mir-125b-1,,,,,,,,,
"hsa-mir-125b-1, mature,MIMAT0004592",hsa-mir-125b-1,,,,,,,,,
"hsa-mir-125b-2, mature,MIMAT0004603",hsa-mir-125b-2,,,,,,,,,
"hsa-mir-126, mature,MIMAT0000444",hsa-mir-126,,,,,,,,,
"hsa-mir-126, mature,MIMAT0000445",hsa-mir-126,,,,,,,,,
"hsa-mir-1260a, mature,MIMAT0005911",hsa-mir-1260a,,,,,,,,,
"hsa-mir-1260b, mature,MIMAT0015041",hsa-mir-1260b,,,,,,,,,
"hsa-mir-1262, mature,MIMAT0005914",hsa-mir-1262,,,,,,,,,
"hsa-mir-1263, mature,MIMAT0005915",hsa-mir-1263,,,,,,,,,
"hsa-mir-1264, mature,MIMAT0005791",hsa-mir-1264,Homo sapiens,hsa_143,MI0003758,chrX,+,114652655.0,114652723.0,2.0,1180.0
"hsa-mir-1265, mature,MIMAT0005918",hsa-mir-1265,,,,,,,,,
"hsa-mir-1266, mature,MIMAT0005920",hsa-mir-1266,,,,,,,,,
"hsa-mir-1266, mature,MIMAT0026742",hsa-mir-1266,,,,,,,,,
"hsa-mir-1267, mature,MIMAT0005921",hsa-mir-1267,,,,,,,,,
"hsa-mir-1268b, mature,MIMAT0018925",hsa-mir-1268b,,,,,,,,,
"hsa-mir-1269a, mature,MIMAT0005923",hsa-mir-1269a,,,,,,,,,
