"Organism","Cluster ID","Name","Accession","Chromosome","Strand","Start","Stop","Precursors in cluster","Spanning size of cluster"
"Homo sapiens","hsa_2","hsa-mir-30e","MI0000749","chr1","+","40754355","40754446","2","3018"
"Homo sapiens","hsa_2","hsa-mir-30c-1","MI0000736","chr1","+","40757284","40757372","2","3018"
"Homo sapiens","hsa_3","hsa-mir-4421","MI0016758","chr1","+","51059837","51059905","2","267"
"Homo sapiens","hsa_3","hsa-mir-6500","MI0022211","chr1","+","51060018","51060103","2","267"
"Homo sapiens","hsa_5","hsa-mir-3116-1","MI0014128","chr1","+","62078786","62078859","2","71"
"Homo sapiens","hsa_5","hsa-mir-3116-2","MI0014129","chr1","-","62078789","62078856","2","71"
"Homo sapiens","hsa_6","hsa-mir-3671","MI0016072","chr1","-","65057755","65057842","2","754"
"Homo sapiens","hsa_6","hsa-mir-101-1","MI0000103","chr1","-","65058434","65058508","2","754"
"Homo sapiens","hsa_7","hsa-mir-2682","MI0012063","chr1","-","98045242","98045351","2","930"
"Homo sapiens","hsa_7","hsa-mir-137","MI0000454","chr1","-","98046070","98046171","2","930"
"Homo sapiens","hsa_8","hsa-mir-3119-1","MI0014134","chr1","-","170151378","170151462","2","85"
"Homo sapiens","hsa_8","hsa-mir-3119-2","MI0014135","chr1","+","170151378","170151462","2","85"
"Homo sapiens","hsa_9","hsa-mir-1295a","MI0006357","chr1","-","171101728","171101806","2","71"
"Homo sapiens","hsa_9","hsa-mir-1295b","MI0019146","chr1","+","171101739","171101798","2","71"
"Homo sapiens","hsa_11","hsa-mir-181b-1","MI0000270","chr1","-","198858873","198858982","2","281"
"Homo sapiens","hsa_11","hsa-mir-181a-1","MI0000289","chr1","-","198859044","198859153","2","281"
"Homo sapiens","hsa_12","hsa-mir-29c","MI0000735","chr1","-","207801852","207801939","2","672"
"Homo sapiens","hsa_12","hsa-mir-29b-2","MI0000107","chr1","-","207802443","207802523","2","672"
"Homo sapiens","hsa_13","hsa-mir-215","MI0000291","chr1","-","220117853","220117962","2","389"
"Homo sapiens","hsa_13","hsa-mir-194-1","MI0000488","chr1","-","220118157","220118241","2","389"
"Homo sapiens","hsa_14","hsa-mir-3155a","MI0014183","chr10","+","6152196","6152277","2","67"
"Homo sapiens","hsa_14","hsa-mir-3155b","MI0016839","chr10","-","6152207","6152262","2","67"
"Homo sapiens","hsa_15","hsa-mir-4679-2","MI0017311","chr10","-","89063335","89063411","2","76"
"Homo sapiens","hsa_15","hsa-mir-4679-1","MI0017310","chr10","+","89063336","89063410","2","76"
"Homo sapiens","hsa_16","hsa-mir-3158-1","MI0014186","chr10","+","101601417","101601497","2","81"
"Homo sapiens","hsa_16","hsa-mir-3158-2","MI0014187","chr10","-","101601417","101601497","2","81"
"Homo sapiens","hsa_17","hsa-mir-6715a","MI0022548","chr10","+","112299612","112299690","2","77"
"Homo sapiens","hsa_17","hsa-mir-6715b","MI0022549","chr10","-","112299612","112299688","2","77"
"Homo sapiens","hsa_18","hsa-mir-3160-1","MI0014189","chr11","-","46451805","46451889","2","83"
"Homo sapiens","hsa_18","hsa-mir-3160-2","MI0014190","chr11","+","46451807","46451887","2","83"
"Homo sapiens","hsa_19","hsa-mir-6748","MI0022593","chr11","+","62789815","62789885","2","2957"
"Homo sapiens","hsa_19","hsa-mir-6514","MI0022226","chr11","-","62792702","62792771","2","2957"
"Homo sapiens","hsa_21","hsa-mir-7113","MI0022964","chr11","+","68032864","68032922","2","1118"
"Homo sapiens","hsa_21","hsa-mir-4691","MI0017324","chr11","+","68033897","68033981","2","1118"
"Homo sapiens","hsa_22","hsa-mir-34b","MI0000742","chr11","+","111512938","111513021","2","578"
"Homo sapiens","hsa_22","hsa-mir-34c","MI0000743","chr11","+","111513439","111513515","2","578"
"Homo sapiens","hsa_23","hsa-let-7a-2","MI0000061","chr11","-","122146522","122146593","2","5787"
"Homo sapiens","hsa_23","hsa-mir-100","MI0000102","chr11","-","122152229","122152308","2","5787"
"Homo sapiens","hsa_24","hsa-mir-200c","MI0000650","chr12","+","6963699","6963766","2","493"
"Homo sapiens","hsa_24","hsa-mir-141","MI0000457","chr12","+","6964097","6964191","2","493"
"Homo sapiens","hsa_25","hsa-mir-6758","MI0022603","chr12","+","57512688","57512750","2","6572"
"Homo sapiens","hsa_25","hsa-mir-616","MI0003629","chr12","-","57519163","57519259","2","6572"
"Homo sapiens","hsa_26","hsa-mir-548c","MI0003630","chr12","+","64622509","64622605","2","97"
"Homo sapiens","hsa_26","hsa-mir-548z","MI0016688","chr12","-","64622509","64622605","2","97"
"Homo sapiens","hsa_27","hsa-mir-3913-1","MI0016417","chr12","-","69584722","69584823","2","101"
"Homo sapiens","hsa_27","hsa-mir-3913-2","MI0016418","chr12","+","69584723","69584822","2","101"
"Homo sapiens","hsa_28","hsa-mir-5700","MI0019307","chr12","+","94561789","94561859","2","9564"
"Homo sapiens","hsa_28","hsa-mir-7844","MI0025514","chr12","-","94571231","94571352","2","9564"
"Homo sapiens","hsa_29","hsa-mir-331","MI0000812","chr12","+","95308420","95308513","2","1565"
"Homo sapiens","hsa_29","hsa-mir-3685","MI0016086","chr12","+","95309923","95309984","2","1565"
"Homo sapiens","hsa_30","hsa-mir-16-1","MI0000070","chr13","-","50048973","50049061","2","229"
"Homo sapiens","hsa_30","hsa-mir-15a","MI0000069","chr13","-","50049119","50049201","2","229"
"Homo sapiens","hsa_32","hsa-mir-151b","MI0003772","chr14","-","100109419","100109514","2","335"
"Homo sapiens","hsa_32","hsa-mir-342","MI0000805","chr14","+","100109655","100109753","2","335"
"Homo sapiens","hsa_35","hsa-mir-203a","MI0000283","chr14","+","104117405","104117514","2","99"
"Homo sapiens","hsa_35","hsa-mir-203b","MI0017343","chr14","-","104117418","104117503","2","99"
"Homo sapiens","hsa_37","hsa-mir-7973-2","MI0025749","chr15","-","51314032","51314107","2","78"
"Homo sapiens","hsa_37","hsa-mir-7973-1","MI0025748","chr15","+","51314034","51314109","2","78"
"Homo sapiens","hsa_39","hsa-mir-5587","MI0019144","chr16","+","535316","535368","2","8051"
"Homo sapiens","hsa_39","hsa-mir-3176","MI0014210","chr16","+","543277","543366","2","8051"
"Homo sapiens","hsa_40","hsa-mir-4516","MI0016882","chr16","+","2133119","2133204","2","3011"
"Homo sapiens","hsa_40","hsa-mir-3180-5","MI0016409","chr16","-","2135977","2136129","2","3011"
"Homo sapiens","hsa_42","hsa-mir-193b","MI0003137","chr16","+","14303967","14304049","2","5405"
"Homo sapiens","hsa_42","hsa-mir-365a","MI0000767","chr16","+","14309285","14309371","2","5405"
"Homo sapiens","hsa_44","hsa-mir-6511a-1","MI0022223","chr16","+","14925937","14926003","2","4943"
"Homo sapiens","hsa_44","hsa-mir-6770-1","MI0022615","chr16","+","14930820","14930879","2","4943"
"Homo sapiens","hsa_46","hsa-mir-6511a-2","MI0023564","chr16","+","16324588","16324654","2","4777"
"Homo sapiens","hsa_46","hsa-mir-6770-2","MI0026418","chr16","+","16329305","16329364","2","4777"
"Homo sapiens","hsa_48","hsa-mir-3670-4","MI0031514","chr16","-","18488301","18488365","2","6276"
"Homo sapiens","hsa_48","hsa-mir-3179-4","MI0031510","chr16","-","18494493","18494576","2","6276"
"Homo sapiens","hsa_49","hsa-mir-132","MI0000449","chr17","-","2049908","2050008","2","473"
"Homo sapiens","hsa_49","hsa-mir-212","MI0000288","chr17","-","2050271","2050380","2","473"
"Homo sapiens","hsa_50","hsa-mir-6864","MI0022711","chr17","-","4969702","4969771","2","449"
"Homo sapiens","hsa_50","hsa-mir-6865","MI0022712","chr17","-","4970086","4970150","2","449"
"Homo sapiens","hsa_51","hsa-mir-4520-1","MI0016886","chr17","-","6655440","6655509","2","63"
"Homo sapiens","hsa_51","hsa-mir-4520-2","MI0017358","chr17","+","6655449","6655502","2","63"
"Homo sapiens","hsa_52","hsa-mir-195","MI0000489","chr17","-","7017615","7017701","2","408"
"Homo sapiens","hsa_52","hsa-mir-497","MI0003138","chr17","-","7017911","7018022","2","408"
"Homo sapiens","hsa_53","hsa-mir-6777","MI0022622","chr17","-","17813480","17813545","2","452"
"Homo sapiens","hsa_53","hsa-mir-33b","MI0003646","chr17","-","17813836","17813931","2","452"
"Homo sapiens","hsa_55","hsa-mir-423","MI0001445","chr17","+","30117079","30117172","2","82"
"Homo sapiens","hsa_55","hsa-mir-3184","MI0014226","chr17","-","30117086","30117160","2","82"
"Homo sapiens","hsa_56","hsa-mir-4725","MI0017362","chr17","+","31575269","31575358","2","253"
"Homo sapiens","hsa_56","hsa-mir-365b","MI0000769","chr17","+","31575411","31575521","2","253"
"Homo sapiens","hsa_57","hsa-mir-142","MI0000458","chr17","-","58331232","58331318","2","4791"
"Homo sapiens","hsa_57","hsa-mir-4736","MI0017373","chr17","-","58335976","58336022","2","4791"
"Homo sapiens","hsa_58","hsa-mir-3064","MI0017375","chr17","-","64500774","64500839","2","540"
"Homo sapiens","hsa_58","hsa-mir-5047","MI0017932","chr17","-","64501214","64501313","2","540"
"Homo sapiens","hsa_59","hsa-mir-548d-2","MI0003671","chr17","-","67471489","67471585","2","97"
"Homo sapiens","hsa_59","hsa-mir-548aa-2","MI0016690","chr17","+","67471489","67471585","2","97"
"Homo sapiens","hsa_60","hsa-mir-4524b","MI0019114","chr17","+","69099542","69099656","2","91"
"Homo sapiens","hsa_60","hsa-mir-4524a","MI0016891","chr17","-","69099564","69099632","2","91"
"Homo sapiens","hsa_62","hsa-mir-133a-1","MI0000450","chr18","-","21825698","21825785","2","3391"
"Homo sapiens","hsa_62","hsa-mir-1-2","MI0000437","chr18","-","21829004","21829088","2","3391"
"Homo sapiens","hsa_63","hsa-mir-5583-2","MI0019140","chr18","-","39676719","39676777","2","61"
"Homo sapiens","hsa_63","hsa-mir-5583-1","MI0019139","chr18","+","39676721","39676779","2","61"
